Date,"Anglerfish","Taylor Swift"
2025-12-04,1187,16590
2025-12-05,1076,16810
2025-12-06,1077,17773
2025-12-07,977,17176
2025-12-08,1705,21337
2025-12-09,1100,15723
2025-12-10,1037,16471
2025-12-11,1052,27641
2025-12-12,1065,37346
2025-12-13,1103,78136
2025-12-14,1071,45326
2025-12-15,993,28680
2025-12-16,1000,20915
2025-12-17,1076,19434
2025-12-18,1072,18795
2025-12-19,982,21700
2025-12-20,1050,26951
2025-12-21,1628,26721
2025-12-22,1604,22113
2025-12-23,1020,28289
2025-12-24,931,30681
2025-12-25,1040,25286
2025-12-26,1106,39317
2025-12-27,1089,31196
2025-12-28,1057,28689
2025-12-29,1164,27085
2025-12-30,1017,24140
2025-12-31,980,23540
2026-01-01,1020,24782
2026-01-02,1239,22489
2026-01-03,1291,20871
2026-01-04,1305,21633
2026-01-05,1257,18539
2026-01-06,1148,17236
2026-01-07,981,16842
2026-01-08,1027,15768
2026-01-09,1020,16349
2026-01-10,1106,19260
2026-01-11,1143,19014
2026-01-12,1148,16982
2026-01-13,1136,15795
2026-01-14,1163,15411
2026-01-15,1129,15168
2026-01-16,986,15593
2026-01-17,1041,16285
2026-01-18,1274,17248
2026-01-19,1071,15083
2026-01-20,1399,14153
2026-01-21,1121,16535
2026-01-22,1068,17227
2026-01-23,1094,14411
2026-01-24,1151,15420
2026-01-25,1123,14698
2026-01-26,1096,14481
2026-01-27,1080,13358
2026-01-28,1030,13287
2026-01-29,972,12937
2026-01-30,1096,13044
2026-01-31,1336,13810
2026-02-01,1369,14274
2026-02-02,1232,17604
2026-02-03,1236,14259
2026-02-04,1441,20194
2026-02-05,1270,15201
2026-02-06,1327,17952
2026-02-07,1250,16763
2026-02-08,1222,17640
2026-02-09,1254,17773
2026-02-10,1142,13691
2026-02-11,1219,13095
2026-02-12,1224,12904
2026-02-13,1215,14268
2026-02-14,1111,14170
2026-02-15,1241,14637
2026-02-16,1208,12946
2026-02-17,1053,12871
2026-02-18,1125,11634
2026-02-19,1174,13177
